Year,Start Date,End Date,Days Active,Storm Name,Storm Category,Max Wind (mph),Min Pressure mbar,Damage $millions,Deaths,Caribbean,Florida,US Gulf Coast,US East Coast,Canada,Mexico,Central America,Africa
1976,8/27/1976,9/4/1976,9,Frances,3,115,963,0,0,0,0,0,0,0,0,0,1
1976,9/26/1976,10/4/1976,9,Gloria,2,105,970,0,0,0,0,0,0,0,0,0,0
1976,10/22/1976,10/28/1976,7,Holly,1,75,990,0,0,0,0,0,0,0,0,0,0
1975,7/23/1975,7/28/1975,6,Blanche,1,85,980,6.2,0,0,0,0,1,1,0,0,0
1975,8/28/1975,9/4/1975,8,Doris,2,110,965,0,0,0,0,0,0,0,0,0,0
1975,9/13/1975,9/24/1975,12,Eloise,3,125,955,560,80,1,1,1,0,0,0,0,0
1975,9/18/1975,9/29/1975,12,Faye,2,105,977,0,0,1,0,0,0,0,0,0,0
1975,9/22/1975,10/3/1975,12,Gladys,4,140,939,0,0,0,0,0,0,0,0,0,0
1974,8/26/1974,9/2/1974,8,Becky,3,115,977,0,0,0,0,0,0,0,0,0,0
1974,8/29/1974,9/10/1974,13,Carmen,4,150,928,162,8,1,0,1,0,0,1,0,0
1974,9/14/1974,9/22/1974,9,Fifi,2,110,971,1800,8210,1,0,0,0,0,1,1,0
1973,7/1/1973,7/7/1973,7,Alice,1,90,986,0,0,1,0,0,0,0,0,0,0
1973,9/14/1973,9/22/1973,9,Ellen,3,115,962,0,0,0,0,0,0,0,0,0,0
1973,10/8/1973,10/12/1973,5,Fran,1,80,978,0,0,0,0,0,0,0,0,0,0
1970,7/31/1970,8/5/1970,6,Celia,3,125,945,930,28,1,0,1,0,0,0,0,0
1970,10/20/1970,10/28/1970,9,Nineteen,1,75,988,0,0,0,0,0,0,0,0,0,0
