name,year,area_m2,area_k2,pop2010,pop2011,pop2012,pop2013,pop2014,pop2015,pop2016,native2016,pacific2016,black2016,other2016,white2016,births10to16,deaths10to16
Pasquotank,1668,289,749,40661,40696,39424,39424,39642,39752,40284,208,606,15924,1003,22543,3114,2423
Pender,1875,933,2416,52195,53399,55369,55369,56525,57948,59459,623,399,9154,1326,47957,3808,3153
Perquimans,1668,329,852,13453,13487,13762,13762,13641,13628,13561,54,68,3352,201,9886,799,992
Person,1791,404,1046,39460,39637,39129,39129,39245,39523,39728,343,181,10335,672,28197,2577,2701
Pitt,1760,655,1696,168152,171134,173783,173783,174229,175428,175885,1032,3653,60909,3838,106453,13332,7778
Polk,1855,239,619,20512,20256,20571,20571,20751,20809,21030,123,127,866,343,19571,870,1877
Randolph,1779,790,2046,141779,142358,142331,142331,142662,142750,143711,1946,1946,8805,2501,128513,10015,8743
Richmond,1779,480,1243,46641,46611,45905,45905,45355,45334,44912,1707,569,13888,1111,27637,3426,3436
Robeson,1787,951,2463,134240,135517,134033,134033,133537,133301,132657,52920,1572,32082,3954,42129,11709,8072
Rockingham,1785,572,1481,93611,93329,92222,92222,92375,92001,91891,553,666,17378,1965,71329,5835,6944
Rowan,1753,524,1357,138502,138019,138436,138436,139259,140024,140970,884,1627,23574,2433,112452,9761,9209
Rutherford,1779,566,1466,67808,67538,67669,67669,67502,67619,67703,222,384,6401,1476,59220,4257,5282
Sampson,1784,947,2453,63468,63734,64231,64231,64234,63884,63499,2477,456,16544,1353,42669,5295,4078
Scotland,1899,321,831,36157,35861,36154,36154,36044,35806,35789,4614,355,13844,927,16049,2849,2574
Stanly,1841,404,1046,60585,60636,60558,60558,61003,61169,61751,250,1428,6846,853,52374,4149,4153
Stokes,1789,456,1181,47407,47242,46711,46711,46812,46752,46751,214,150,1759,669,43959,2511,3222
Surry,1771,538,1393,73748,73714,73226,73226,73717,73061,72843,496,450,2936,1049,67912,4765,5415
Swain,1871,541,1401,13981,14043,14562,14562,14814,14943,14852,3942,102,33,830,9945,1239,1178
Transylvania,1861,381,987,33090,32820,33141,33141,33402,33720,34139,130,186,1301,652,31870,1690,2596
Tyrrell,1729,600,1554,4407,4364,4129,4129,4137,4213,4136,40,96,1547,69,2384,266,294
Union,1842,640,1658,201350,205463,211265,211265,215747,219660,223915,1636,5652,26996,4326,185305,14854,7947
