id,decade,year,month,date,co2raw,co2adj,days
119,1960s,1968,Jan,1968.042,322.57,322.55,
120,1960s,1968,Feb,1968.125,323.15,322.56,
121,1960s,1968,Mar,1968.208,323.89,322.59,
122,1960s,1968,Apr,1968.292,325.02,322.73,
123,1960s,1968,May,1968.375,325.57,322.87,
124,1960s,1968,Jun,1968.458,325.36,323.2,
125,1960s,1968,Jul,1968.542,324.14,323.25,
126,1960s,1968,Aug,1968.625,322.03,323.15,
127,1960s,1968,Sep,1968.708,320.41,323.31,
128,1960s,1968,Oct,1968.792,320.25,323.32,
129,1960s,1968,Nov,1968.875,321.31,323.32,
130,1960s,1968,Dec,1968.958,322.84,323.69,
