Gender,Major,Type,EorI,SorN,TorF,JorP,Accuracy,Vacation,Semester
Male,Political Science,ESTP,Extravert,SeIntuitivesiIntuitiveg,Thinking,Perceiving,6,,Pre-Sum14
Male,Political Science,INFJ,Introvert,Intuitive,Feeling,Judging,6,,Pre-Sum14
Male,Political Science,INFJ,Introvert,Intuitive,Feeling,Judging,5,,Pre-Sum14
Male,Political Science,INFJ,Introvert,Intuitive,Feeling,Judging,6,,Pre-Sum14
Male,Political Science,INFP,Introvert,Intuitive,Feeling,Perceiving,5,,Pre-Sum14
Male,Political Science,INFP,Introvert,Intuitive,Feeling,Perceiving,5,,Pre-Sum14
Male,Political Science,INTJ,Introvert,Intuitive,Thinking,Judging,5,,Pre-Sum14
Male,Political Science,INTJ,Introvert,Intuitive,Thinking,Judging,5,,Pre-Sum14
Male,Political Science,INTJ,Introvert,Intuitive,Thinking,Judging,5,,Pre-Sum14
Male,Political Science,INTJ,Introvert,Intuitive,Thinking,Judging,6,,Pre-Sum14
Male,Political Science,INTJ,Introvert,Intuitive,Thinking,Judging,7,,Pre-Sum14
Male,Political Science,INTJ,Introvert,Intuitive,Thinking,Judging,2,,Pre-Sum14
Male,Political Science,INTJ,Introvert,Intuitive,Thinking,Judging,4,,Pre-Sum14
Male,Political Science,INTJ,Introvert,Intuitive,Thinking,Judging,4,,Pre-Sum14
Male,Political Science,INTJ,Introvert,Intuitive,Thinking,Judging,5,,Pre-Sum14
Male,Political Science,INTJ,Introvert,Intuitive,Thinking,Judging,6,,Pre-Sum14
Male,Political Science,INTJ,Introvert,Intuitive,Thinking,Judging,4,,Pre-Sum14
Male,Political Science,INTJ,Introvert,Intuitive,Thinking,Judging,4,,Pre-Sum14
Male,Political Science,INTP,Introvert,Intuitive,Thinking,Perceiving,5,,Pre-Sum14
Male,Political Science,INTP,Introvert,Intuitive,Thinking,Perceiving,5,,Pre-Sum14
Male,Political Science,INTP,Introvert,Intuitive,Thinking,Perceiving,6,,Pre-Sum14
Male,Political Science,ISFP,Introvert,SeIntuitivesiIntuitiveg,Feeling,Perceiving,6,,Pre-Sum14
Male,Political Science,ISTJ,Introvert,SeIntuitivesiIntuitiveg,Thinking,Judging,4,,Pre-Sum14
Male,Political Science,ISTJ,Introvert,SeIntuitivesiIntuitiveg,Thinking,Judging,4,,Pre-Sum14
Male,Political Science,ISTP,Introvert,SeIntuitivesiIntuitiveg,Thinking,Perceiving,5,,Pre-Sum14
Male,Political Science,ISTP,Introvert,SeIntuitivesiIntuitiveg,Thinking,Perceiving,5,,Pre-Sum14
Female,Communication Disorders,ESFJ,Extravert,SeIntuitivesiIntuitiveg,Feeling,Judging,6,,Sum14
Female,Communication Disorders,INFJ,Introvert,Intuitive,Feeling,Judging,2,,Sum14
Female,H&ES,ENTJ,Extravert,Intuitive,Thinking,Judging,5,,Sum14
Female,Political Science,ISTJ,Introvert,SeIntuitivesiIntuitiveg,Thinking,Judging,5,,Sum14
Male,Communication Disorders,ESFJ,Extravert,SeIntuitivesiIntuitiveg,Feeling,Judging,5,,Sum14
Male,Criminal Justice,ENTJ,Extravert,Intuitive,Thinking,Judging,5,,Sum14
Male,Criminal Justice,INTJ,Introvert,Intuitive,Thinking,Judging,7,,Sum14
Male,Criminal Justice,ISTJ,Introvert,SeIntuitivesiIntuitiveg,Thinking,Judging,6,,Sum14
Male,Criminal Justice,ISTJ,Introvert,SeIntuitivesiIntuitiveg,Thinking,Judging,6,,Sum14
Male,Other,ENFJ,Extravert,Intuitive,Feeling,Judging,5,,Sum14
Male,Other,INTP,Introvert,Intuitive,Thinking,Perceiving,5,,Sum14
Male,Political Science,ENFJ,Extravert,Intuitive,Feeling,Judging,5,,Sum14
Female,Communication Disorders,ESFJ,Extravert,SeIntuitivesiIntuitiveg,Feeling,Judging,4,,Sum15
Female,Communication Disorders,ESTJ,Extravert,SeIntuitivesiIntuitiveg,Thinking,Judging,5,,Sum15
Female,Criminal Justice,ESFJ,Extravert,SeIntuitivesiIntuitiveg,Feeling,Judging,5,,Sum15
Female,Other,ENFJ,Extravert,Intuitive,Feeling,Judging,4,,Sum15
Female,Other,INTJ,Introvert,Intuitive,Thinking,Judging,5,,Sum15
Female,Other,ISTJ,Introvert,SeIntuitivesiIntuitiveg,Thinking,Judging,7,,Sum15
Male,Criminal Justice,ENFP,Extravert,Intuitive,Feeling,Perceiving,4,,Sum15
Male,Criminal Justice,ENTJ,Extravert,Intuitive,Thinking,Judging,5,,Sum15
Male,Criminal Justice,ISTJ,Introvert,SeIntuitivesiIntuitiveg,Thinking,Judging,4,,Sum15
Male,Criminal Justice,ISTJ,Introvert,SeIntuitivesiIntuitiveg,Thinking,Judging,6,,Sum15
Male,H&ES,INFJ,Introvert,Intuitive,Feeling,Judging,5,,Sum15
Male,Political Science,ENFP,Extravert,Intuitive,Feeling,Perceiving,5,,Sum15
Male,Political Science,ENFP,Extravert,Intuitive,Feeling,Perceiving,5,,Sum15
Female,Communication Disorders,ESFP,Extravert,SeIntuitivesiIntuitiveg,Feeling,Perceiving,4,Mountains,S16
Female,Communication Disorders,INFJ,Introvert,Intuitive,Feeling,Judging,4,Mountains,S16
Female,Communication Disorders,INFP,Introvert,Intuitive,Feeling,Perceiving,5,Beach,S16
Female,Communication Disorders,ISFJ,Introvert,SeIntuitivesiIntuitiveg,Feeling,Judging,6,Mountains,S16
Female,Communication Disorders,ISFJ,Introvert,SeIntuitivesiIntuitiveg,Feeling,Judging,6,Mountains,S16
Female,Criminal Justice,ESFJ,Extravert,SeIntuitivesiIntuitiveg,Feeling,Judging,4,Beach,S16
Female,Nursing,ENFJ,Extravert,Intuitive,Feeling,Judging,6,Beach,S16
Female,Nursing,ENFJ,Extravert,Intuitive,Feeling,Judging,7,Mountains,S16
Female,Nursing,ENFP,Extravert,Intuitive,Feeling,Perceiving,5,Beach,S16
Female,Nursing,ENFP,Extravert,Intuitive,Feeling,Perceiving,4,Mountains,S16
Female,Nursing,ESFJ,Extravert,SeIntuitivesiIntuitiveg,Feeling,Judging,4,Beach,S16
Female,Nursing,ESFJ,Extravert,SeIntuitivesiIntuitiveg,Feeling,Judging,6,Beach,S16
Female,Nursing,ESFJ,Extravert,SeIntuitivesiIntuitiveg,Feeling,Judging,4,Beach,S16
Female,Nursing,ESFJ,Extravert,SeIntuitivesiIntuitiveg,Feeling,Judging,5,Mountains,S16
Female,Nursing,ESFJ,Extravert,SeIntuitivesiIntuitiveg,Feeling,Judging,4,Beach,S16
Female,Nursing,ESFJ,Extravert,SeIntuitivesiIntuitiveg,Feeling,Judging,4,Beach,S16
Female,Nursing,ESFJ,Extravert,SeIntuitivesiIntuitiveg,Feeling,Judging,6,Beach,S16
Female,Nursing,ESTJ,Extravert,SeIntuitivesiIntuitiveg,Thinking,Judging,6,Beach,S16
Female,Nursing,ESTJ,Extravert,SeIntuitivesiIntuitiveg,Thinking,Judging,5,Beach,S16
Female,Nursing,ESTP,Extravert,SeIntuitivesiIntuitiveg,Thinking,Perceiving,5,Beach,S16
Female,Nursing,ESTP,Extravert,SeIntuitivesiIntuitiveg,Thinking,Perceiving,6,Beach,S16
Female,Nursing,INFJ,Introvert,Intuitive,Feeling,Judging,5,Beach,S16
Female,Nursing,ISFJ,Introvert,SeIntuitivesiIntuitiveg,Feeling,Judging,5,Beach,S16
Female,Other,ENFP,Extravert,Intuitive,Feeling,Perceiving,4,Mountains,S16
Female,Other,ESTP,Extravert,SeIntuitivesiIntuitiveg,Thinking,Perceiving,4,Beach,S16
Female,Other,INFJ,Introvert,Intuitive,Feeling,Judging,7,Beach,S16
Female,Political Science,ENFJ,Extravert,Intuitive,Feeling,Judging,7,Beach,S16
Female,Political Science,ENFJ,Extravert,Intuitive,Feeling,Judging,7,Mountains,S16
Female,Political Science,ENFJ,Extravert,Intuitive,Feeling,Judging,5,Mountains,S16
Female,Political Science,ENFJ,Extravert,Intuitive,Feeling,Judging,5,Mountains,S16
Female,Political Science,ESTJ,Extravert,SeIntuitivesiIntuitiveg,Thinking,Judging,5,Mountains,S16
Female,Political Science,INTJ,Introvert,Intuitive,Thinking,Judging,7,Mountains,S16
Female,Political Science,INTP,Introvert,Intuitive,Thinking,Perceiving,4,Mountains,S16
Male,Criminal Justice,ENFJ,Extravert,Intuitive,Feeling,Judging,6,Mountains,S16
Male,Criminal Justice,ENFJ,Extravert,Intuitive,Feeling,Judging,5,Beach,S16
Male,Criminal Justice,ENFJ,Extravert,Intuitive,Feeling,Judging,4,Beach,S16
Male,Criminal Justice,ENTJ,Extravert,Intuitive,Thinking,Judging,6,Beach,S16
Male,Criminal Justice,ENTJ,Extravert,Intuitive,Thinking,Judging,5,Mountains,S16
Male,Criminal Justice,ESFJ,Extravert,SeIntuitivesiIntuitiveg,Feeling,Judging,6,Mountains,S16
Male,Criminal Justice,ESFJ,Extravert,SeIntuitivesiIntuitiveg,Feeling,Judging,6,Beach,S16
Male,Criminal Justice,ESTJ,Extravert,SeIntuitivesiIntuitiveg,Thinking,Judging,5,Beach,S16
Male,Criminal Justice,ESTJ,Extravert,SeIntuitivesiIntuitiveg,Thinking,Judging,5,Beach,S16
Male,Criminal Justice,ESTJ,Extravert,SeIntuitivesiIntuitiveg,Thinking,Judging,5,Beach,S16
Male,Criminal Justice,ISFJ,Introvert,SeIntuitivesiIntuitiveg,Feeling,Judging,7,Mountains,S16
Male,Criminal Justice,ISFJ,Introvert,SeIntuitivesiIntuitiveg,Feeling,Judging,3,Mountains,S16
Male,Criminal Justice,ISFP,Introvert,SeIntuitivesiIntuitiveg,Feeling,Perceiving,6,Beach,S16
Male,Criminal Justice,ISFP,Introvert,SeIntuitivesiIntuitiveg,Feeling,Perceiving,5,Beach,S16
Male,Criminal Justice,ISTJ,Introvert,SeIntuitivesiIntuitiveg,Thinking,Judging,5,Beach,S16
Male,H&ES,ENFJ,Extravert,Intuitive,Feeling,Judging,6,Mountains,S16
Male,H&ES,ENTJ,Extravert,Intuitive,Thinking,Judging,3,Beach,S16
Male,H&ES,ISFP,Introvert,SeIntuitivesiIntuitiveg,Feeling,Perceiving,5,Mountains,S16
Male,Nursing,ENFP,Extravert,Intuitive,Feeling,Perceiving,6,Mountains,S16
Male,Nursing,ENTJ,Extravert,Intuitive,Thinking,Judging,5,Beach,S16
Male,Nursing,INTP,Introvert,Intuitive,Thinking,Perceiving,6,Beach,S16
Male,Other,ENFP,Extravert,Intuitive,Feeling,Perceiving,6,Beach,S16
Male,Political Science,ENTJ,Extravert,Intuitive,Thinking,Judging,6,Beach,S16
Male,Political Science,ENTJ,Extravert,Intuitive,Thinking,Judging,5,Mountains,S16
Male,Political Science,ENTP,Extravert,Intuitive,Thinking,Perceiving,4,Beach,S16
Male,Political Science,ENTP,Extravert,Intuitive,Thinking,Perceiving,6,Beach,S16
Male,Political Science,ESTJ,Extravert,SeIntuitivesiIntuitiveg,Thinking,Judging,5,Beach,S16
Male,Political Science,ESTP,Extravert,SeIntuitivesiIntuitiveg,Thinking,Perceiving,7,Beach,S16
Male,Political Science,INTJ,Introvert,Intuitive,Thinking,Judging,5,Mountains,S16
Male,Political Science,INTJ,Introvert,Intuitive,Thinking,Judging,5,Beach,S16
Male,Political Science,INTP,Introvert,Intuitive,Thinking,Perceiving,6,Beach,S16
Female,Communication Disorders,ENFJ,Extravert,Intuitive,Feeling,Judging,7,Beach,S17
Female,Communication Disorders,ENFP,Extravert,Intuitive,Feeling,Perceiving,3,Beach,S17
Female,Communication Disorders,ESFP,Extravert,SeIntuitivesiIntuitiveg,Feeling,Perceiving,5,Beach,S17
Female,Communication Disorders,INFJ,Introvert,Intuitive,Feeling,Judging,7,Beach,S17
Female,Communication Disorders,INFJ,Introvert,Intuitive,Feeling,Judging,7,Beach,S17
Female,Communication Disorders,INTJ,Introvert,Intuitive,Thinking,Judging,4,Beach,S17
Female,Criminal Justice,ENFP,Extravert,Intuitive,Feeling,Perceiving,3,Beach,S17
Female,Criminal Justice,ESFJ,Extravert,SeIntuitivesiIntuitiveg,Feeling,Judging,4,Mountains,S17
Female,Criminal Justice,INFJ,Introvert,Intuitive,Feeling,Judging,6,Beach,S17
Female,Criminal Justice,ISTJ,Introvert,SeIntuitivesiIntuitiveg,Thinking,Judging,6,Beach,S17
Female,H&ES,ESFJ,Extravert,SeIntuitivesiIntuitiveg,Feeling,Judging,4,Beach,S17
Female,H&ES,INTJ,Introvert,Intuitive,Thinking,Judging,7,Mountains,S17
Female,H&ES,ISTJ,Introvert,SeIntuitivesiIntuitiveg,Thinking,Judging,,Beach,S17
Female,Nursing,ENFJ,Extravert,Intuitive,Feeling,Judging,6,Beach,S17
Female,Nursing,ENFJ,Extravert,Intuitive,Feeling,Judging,7,Beach,S17
Female,Nursing,ENFJ,Extravert,Intuitive,Feeling,Judging,6,Beach,S17
Female,Nursing,ENFJ,Extravert,Intuitive,Feeling,Judging,5,Beach,S17
Female,Nursing,ENFJ,Extravert,Intuitive,Feeling,Judging,5,Beach,S17
Female,Nursing,ENFP,Extravert,Intuitive,Feeling,Perceiving,4,Beach,S17
Female,Nursing,ENFP,Extravert,Intuitive,Feeling,Perceiving,6,Beach,S17
Female,Nursing,ENFP,Extravert,Intuitive,Feeling,Perceiving,3,Beach,S17
Female,Nursing,ENFP,Extravert,Intuitive,Feeling,Perceiving,6,Beach,S17
Female,Nursing,ESFJ,Extravert,SeIntuitivesiIntuitiveg,Feeling,Judging,3,Beach,S17
Female,Nursing,ESFP,Extravert,SeIntuitivesiIntuitiveg,Feeling,Perceiving,4,Beach,S17
Female,Nursing,ESFP,Extravert,SeIntuitivesiIntuitiveg,Feeling,Perceiving,7,Beach,S17
Female,Nursing,ESFP,Extravert,SeIntuitivesiIntuitiveg,Feeling,Perceiving,4,Beach,S17
Female,Nursing,INFJ,Introvert,Intuitive,Feeling,Judging,7,Mountains,S17
Female,Nursing,INFJ,Introvert,Intuitive,Feeling,Judging,5,Mountains,S17
Female,Nursing,INFP,Introvert,Intuitive,Feeling,Perceiving,5,Mountains,S17
Female,Nursing,INFP,Introvert,Intuitive,Feeling,Perceiving,5,Mountains,S17
Female,Nursing,ISFJ,Introvert,SeIntuitivesiIntuitiveg,Feeling,Judging,3,Beach,S17
Female,Nursing,ISFP,Introvert,SeIntuitivesiIntuitiveg,Feeling,Perceiving,7,Beach,S17
Female,Nursing,ISTJ,Introvert,SeIntuitivesiIntuitiveg,Thinking,Judging,5,Beach,S17
Female,Other,ENFJ,Extravert,Intuitive,Feeling,Judging,5,Beach,S17
Female,Other,ENFJ,Extravert,Intuitive,Feeling,Judging,5,Beach,S17
Female,Other,ESFP,Extravert,SeIntuitivesiIntuitiveg,Feeling,Perceiving,7,Beach,S17
Female,Other,ESTP,Extravert,SeIntuitivesiIntuitiveg,Thinking,Perceiving,4,Beach,S17
Female,Other,ISFJ,Introvert,SeIntuitivesiIntuitiveg,Feeling,Judging,6,Beach,S17
Female,Other,ISFJ,Introvert,SeIntuitivesiIntuitiveg,Feeling,Judging,7,Beach,S17
Female,Other,ISTJ,Introvert,SeIntuitivesiIntuitiveg,Thinking,Judging,7,Beach,S17
Female,Political Science,ENFJ,Extravert,Intuitive,Feeling,Judging,5,Mountains,S17
Female,Political Science,ENFJ,Extravert,Intuitive,Feeling,Judging,5,Beach,S17
Female,Political Science,ESTJ,Extravert,SeIntuitivesiIntuitiveg,Thinking,Judging,7,Beach,S17
Female,Political Science,INFJ,Introvert,Intuitive,Feeling,Judging,7,Beach,S17
Female,Political Science,INFJ,Introvert,Intuitive,Feeling,Judging,6,Mountains,S17
Female,Political Science,INTJ,Introvert,Intuitive,Thinking,Judging,7,Mountains,S17
Male,Criminal Justice,ENFP,Extravert,Intuitive,Feeling,Perceiving,5,Beach,S17
Male,Criminal Justice,ENTJ,Extravert,Intuitive,Thinking,Judging,4,Beach,S17
Male,Criminal Justice,ESFJ,Extravert,SeIntuitivesiIntuitiveg,Feeling,Judging,4,Mountains,S17
Male,Criminal Justice,ESTJ,Extravert,SeIntuitivesiIntuitiveg,Thinking,Judging,5,Beach,S17
Male,Criminal Justice,ESTJ,Extravert,SeIntuitivesiIntuitiveg,Thinking,Judging,4,Beach,S17
Male,Criminal Justice,ESTJ,Extravert,SeIntuitivesiIntuitiveg,Thinking,Judging,5,Beach,S17
Male,Criminal Justice,ESTJ,Extravert,SeIntuitivesiIntuitiveg,Thinking,Judging,5,Beach,S17
Male,Criminal Justice,ESTP,Extravert,SeIntuitivesiIntuitiveg,Thinking,Perceiving,5,Mountains,S17
Male,Criminal Justice,ESTP,Extravert,SeIntuitivesiIntuitiveg,Thinking,Perceiving,6,Beach,S17
Male,Criminal Justice,INFJ,Introvert,Intuitive,Feeling,Judging,7,Beach,S17
Male,Criminal Justice,INTJ,Introvert,Intuitive,Thinking,Judging,4,Mountains,S17
Male,Criminal Justice,ISTJ,Introvert,SeIntuitivesiIntuitiveg,Thinking,Judging,4,Mountains,S17
Male,Criminal Justice,ISTP,Introvert,SeIntuitivesiIntuitiveg,Thinking,Perceiving,5,Mountains,S17
Male,H&ES,ESTP,Extravert,SeIntuitivesiIntuitiveg,Thinking,Perceiving,5,Beach,S17
Male,Nursing,ESFJ,Extravert,SeIntuitivesiIntuitiveg,Feeling,Judging,4,Beach,S17
Male,Nursing,ESTJ,Extravert,SeIntuitivesiIntuitiveg,Thinking,Judging,6,Beach,S17
Male,Other,ESFJ,Extravert,SeIntuitivesiIntuitiveg,Feeling,Judging,5,Beach,S17
Male,Other,ESFJ,Extravert,SeIntuitivesiIntuitiveg,Feeling,Judging,6,Beach,S17
Male,Other,ESTP,Extravert,SeIntuitivesiIntuitiveg,Thinking,Perceiving,5,Beach,S17
Male,Other,INTP,Introvert,Intuitive,Thinking,Perceiving,5,Beach,S17
Male,Political Science,ENFP,Extravert,Intuitive,Feeling,Perceiving,5,Beach,S17
Male,Political Science,ENTJ,Extravert,Intuitive,Thinking,Judging,5,Mountains,S17
Male,Political Science,ENTJ,Extravert,Intuitive,Thinking,Judging,5,Beach,S17
Male,Political Science,ENTJ,Extravert,Intuitive,Thinking,Judging,4,Mountains,S17
Male,Political Science,ENTP,Extravert,Intuitive,Thinking,Perceiving,5,Mountains,S17
Male,Political Science,ESTJ,Extravert,SeIntuitivesiIntuitiveg,Thinking,Judging,5,Beach,S17
Male,Political Science,ESTJ,Extravert,SeIntuitivesiIntuitiveg,Thinking,Judging,6,Beach,S17
Male,Political Science,ESTP,Extravert,SeIntuitivesiIntuitiveg,Thinking,Perceiving,5,Beach,S17
Male,Political Science,INFP,Introvert,Intuitive,Feeling,Perceiving,6,Mountains,S17
Male,Political Science,INTJ,Introvert,Intuitive,Thinking,Judging,6,Mountains,S17
Male,Political Science,INTP,Introvert,Intuitive,Thinking,Perceiving,5,Mountains,S17
Female,Communication Disorders,ESFP,Extravert,SeIntuitivesiIntuitiveg,Feeling,Perceiving,5,Beach,S18
Female,Communication Disorders,ISTJ,Introvert,SeIntuitivesiIntuitiveg,Thinking,Judging,5,Beach,S18
Female,Criminal Justice,ISFJ,Introvert,SeIntuitivesiIntuitiveg,Feeling,Judging,3,Beach,S18
Female,H&ES,ESFP,Extravert,SeIntuitivesiIntuitiveg,Feeling,Perceiving,4,Beach,S18
Female,H&ES,INFJ,Introvert,Intuitive,Feeling,Judging,6,Beach,S18
Female,Nursing,ENFJ,Extravert,Intuitive,Feeling,Judging,6,Beach,S18
Female,Nursing,ENTP,Extravert,Intuitive,Thinking,Perceiving,7,Beach,S18
Female,Nursing,ESFJ,Extravert,SeIntuitivesiIntuitiveg,Feeling,Judging,5,Beach,S18
Female,Nursing,ESFJ,Extravert,SeIntuitivesiIntuitiveg,Feeling,Judging,5,Beach,S18
Female,Nursing,ESFJ,Extravert,SeIntuitivesiIntuitiveg,Feeling,Judging,5,Beach,S18
Female,Nursing,INFJ,Introvert,Intuitive,Feeling,Judging,7,Mountains,S18
Female,Nursing,ISFP,Introvert,SeIntuitivesiIntuitiveg,Feeling,Perceiving,3,Mountains,S18
Female,Nursing,ISTJ,Introvert,SeIntuitivesiIntuitiveg,Thinking,Judging,6,Mountains,S18
Female,Nursing,ISTJ,Introvert,SeIntuitivesiIntuitiveg,Thinking,Judging,6,Beach,S18
Female,Other,ENFJ,Extravert,Intuitive,Feeling,Judging,4,Beach,S18
Female,Other,ESTJ,Extravert,SeIntuitivesiIntuitiveg,Thinking,Judging,5,Beach,S18
Female,Political Science,ENFJ,Extravert,Intuitive,Feeling,Judging,7,Beach,S18
Female,Political Science,ENFJ,Extravert,Intuitive,Feeling,Judging,5,Beach,S18
Female,Political Science,ENFP,Extravert,Intuitive,Feeling,Perceiving,6,Mountains,S18
Female,Political Science,INTP,Introvert,Intuitive,Thinking,Perceiving,5,Beach,S18
Female,Political Science,ISFP,Introvert,SeIntuitivesiIntuitiveg,Feeling,Perceiving,3,Beach,S18
Female,Political Science,ISTP,Introvert,SeIntuitivesiIntuitiveg,Thinking,Perceiving,5,Mountains,S18
Male,Criminal Justice,ENTJ,Extravert,Intuitive,Thinking,Judging,7,Mountains,S18
Male,Criminal Justice,ENTJ,Extravert,Intuitive,Thinking,Judging,5,Beach,S18
Male,Criminal Justice,ENTP,Extravert,Intuitive,Thinking,Perceiving,5,Mountains,S18
Male,Political Science,ENFJ,Extravert,Intuitive,Feeling,Judging,5,Mountains,S18
Male,Political Science,ENTJ,Extravert,Intuitive,Thinking,Judging,5,Beach,S18
Male,Political Science,ENTP,Extravert,Intuitive,Thinking,Perceiving,5,Beach,S18
Male,Political Science,INFP,Introvert,Intuitive,Feeling,Perceiving,3,Beach,S18
