whiteballs
17
14
5
10
7
13
4
18
7
10
17
6
24
9
14
7
5
10
4
21
6
5
11
1
12
16
13
5
37
15
2
19
1
1
4
18
14
9
8
9
11
13
6
3
10
20
20
22
16
20
1
1
19
4
7
9
4
7
16
4
17
11
10
7
7
1
10
8
13
12
14
2
12
11
7
2
20
1
34
7
5
17
14
10
8
10
5
13
8
1
10
4
11
1
3
18
22
6
19
9
22
30
4
24
3
15
7
11
9
3
29
4
7
2
12
1
28
3
5
4
19
6
10
5
4
21
9
3
4
6
3
2
9
8
7
2
4
12
8
17
14
16
19
12
12
18
24
1
11
1
8
24
1
1
38
20
13
25
11
9
18
2
9
2
13
15
3
4
16
6
12
3
30
1
7
3
10
5
16
3
1
11
12
2
5
4
13
9
4
20
2
5
3
4
2
13
10
14
16
5
21
3
5
10
6
12
4
5
8
15
17
1
11
23
7
6
1
29
12
5
1
11
32
1
11
5
1
5
16
14
20
6
4
31
7
9
1
10
3
8
4
13
9
9
19
18
7
8
11
1
6
7
14
3
5
4
2
9
3
5
3
19
3
4
6
14
22
1
25
8
4
6
24
3
1
2
13
14
17
15
18
2
1
4
3
22
1
4
32
32
8
3
8
22
5
3
13
7
8
15
5
1
11
36
18
26
11
10
9
8
11
3
14
11
5
5
12
15
3
2
3
3
6
10
5
3
13
17
7
11
1
4
1
10
13
6
9
3
22
7
21
6
2
10
9
2
9
22
4
2
16
28
7
13
1
8
3
2
30
2
1
14
9
9
8
21
5
4
4
18
30
12
6
2
2
2
11
1
7
12
2
14
4
11
3
8
3
9
3
4
2
13
1
3
5
10
4
5
18
5
6
13
1
14
7
25
23
8
15
19
10
10
7
13
1
8
11
5
8
24
36
2
1
2
11
3
3
10
14
2
2
13
28
2
8
11
9
14
34
5
19
3
2
5
17
4
7
23
4
15
2
15
1
28
14
9
6
5
10
8
8
24
9
2
5
10
4
24
13
12
1
3
8
7
4
28
17
5
2
9
2
1
18
22
7
2
1
13
5
10
5
20
29
6
25
1
2
9
37
13
6
23
16
13
25
12
34
5
22
14
11
7
17
4
14
2
2
15
11
16
12
5
24
5
11
1
1
22
22
8
14
8
27
17
47
9
29
21
16
26
36
20
21
13
15
26
22
14
21
34
12
22
23
34
22
51
21
7
20
6
3
9
34
22
12
11
31
30
30
38
10
41
21
21
27
22
30
11
16
28
22
10
33
32
10
17
22
20
14
35
17
20
18
24
16
44
20
26
6
22
12
17
7
24
7
38
12
8
30
16
12
20
30
10
24
11
8
11
11
33
17
16
22
26
7
21
13
36
31
5
28
14
37
11
32
13
12
32
13
31
23
20
4
39
11
15
10
20
22
18
14
23
33
24
11
24
13
15
11
17
17
12
8
23
20
18
19
37
18
20
21
15
36
30
11
15
9
18
28
4
7
40
40
19
30
18
12
28
17
13
12
19
25
5
19
41
20
47
4
41
12
20
27
12
10
26
8
18
16
14
33
35
35
22
16
30
37
6
18
14
19
24
28
13
16
21
23
35
21
19
30
29
24
19
33
13
23
28
10
12
28
16
11
4
30
35
14
8
14
43
15
16
14
24
13
23
15
22
8
25
39
8
12
7
24
7
13
7
14
10
10
30
22
10
14
17
3
34
15
19
5
22
16
5
31
14
6
16
30
7
13
27
26
29
6
28
11
19
20
33
20
5
16
26
18
23
26
26
5
7
21
18
32
27
7
34
42
10
15
18
32
16
10
17
23
10
23
8
18
13
46
20
30
13
14
21
28
12
22
16
16
27
6
23
16
17
5
14
8
10
37
9
7
14
29
37
23
6
7
36
12
18
8
19
23
26
12
22
13
11
13
31
6
