name,team,position,state,division,salary,age
Nate Schierholtz,Chicago Cubs,Right fielder,Illinois,NL Central,2250000,28
Mike Gonzalez,Milwaukee Brewers,Bullpen,Wisconsin,NL Central,2250000,34
Darren O'Day,Baltimore Orioles,Bullpen,Maryland,AL East,2200000,29
Jacob Turner,Miami Marlins,Starting pitcher,Florida,NL East,2150000,21
Ramon Santiago,Detroit Tigers,Utility,Michigan,AL Central,2100000,32
Alejandro De Aza,Chicago White Sox,Right fielder,Illinois,AL Central,2075000,28
Jose Iglesias,Boston Red Sox,Shortstop,Massachusetts,AL East,2062500,22
Jared Burton,Minnesota Twins,Bullpen,Minnesota,AL Central,2050000,31
Wilson Betemit,Baltimore Orioles,Utility,Maryland,AL East,2000000,30
Nate McLouth,Baltimore Orioles,Left fielder,Maryland,AL East,2000000,30
Travis Hafner,New York Yankees,Designated hitter,New York,AL East,2000000,35
James Loney,Tampa Bay Rays,First baseman,Florida,AL East,2000000,28
Jerome Williams,Los Angeles Angels,Bullpen,California,AL West,2000000,30
Colby Lewis,Texas Rangers,Starting pitcher,Texas,AL West,2000000,32
Joakim Soria,Texas Rangers,Bullpen,Texas,AL West,2000000,28
Ian Stewart,Chicago Cubs,Third baseman,Illinois,NL Central,2000000,27
Ryan Ludwick,Cincinnati Reds,Left fielder,Ohio,NL Central,2000000,33
Charlie Morton,Pittsburgh Pirates,Starting pitcher,Pennsylvania,NL Central,2000000,28
Bryce Harper,Washington Nationals,Left fielder,"Washington, D.C.",NL East,2000000,19
Yasiel Puig,Los Angeles Dodgers,Outfielder,California,NL West,2000000,22
A.J. Ellis,Los Angeles Dodgers,Catcher,California,NL West,2000000,31
Chris Denorfia,San Diego Padres,Outfielder,California,NL West,2000000,31
Marco Estrada,Milwaukee Brewers,Starting pitcher,Wisconsin,NL Central,1955000,28
Willie Bloomquist,Arizona Diamondbacks,Utility,Arizona,NL West,1900000,34
Joba Chamberlain,New York Yankees,Bullpen,New York,AL East,1875000,26
Daniel Bard,Boston Red Sox,Bullpen,Massachusetts,AL East,1862500,27
Jose Veras,Houston Astros,Closer,Texas,AL West,1850000,32
Tommy Hunter,Baltimore Orioles,Bullpen,Maryland,AL East,1820000,25
John Jaso,Oakland Athletics,Catcher,California,AL West,1800000,28
Jose Mijares,San Francisco Giants,Bullpen,California,NL West,1800000,27
Wilton Lopez,Colorado Rockies,Bullpen,Colorado,NL West,1762500,28
Matt Albers,Cleveland Indians,Bullpen,Ohio,AL Central,1750000,29
Felipe Paulino,Kansas City Royals,Starting pitcher,Missouri,AL Central,1750000,28
Dioner Navarro,Chicago Cubs,Catcher,Illinois,NL Central,1750000,28
Gaby Sanchez,Pittsburgh Pirates,First baseman,Pennsylvania,NL Central,1750000,28
Allen Craig,St. Louis Cardinals,First baseman,Missouri,NL Central,1750000,27
Cliff Pennington,Arizona Diamondbacks,Shortstop,Arizona,NL West,1750000,28
Norichika Aoki,Milwaukee Brewers,Right fielder,Wisconsin,NL Central,1712500,30
Bobby Parnell,New York Mets,Bullpen,New York,NL East,1700000,27
Jhoulys Chacin,Colorado Rockies,Starting pitcher,Colorado,NL West,1650000,24
Jonny Venters,Atlanta Braves,Bullpen,Georgia,NL East,1625000,27
Brian Matusz,Baltimore Orioles,Bullpen,Maryland,AL East,1600000,25
Brandon Moss,Oakland Athletics,First baseman,California,AL West,1600000,28
Robert Andino,Seattle Mariners,Utility,Washington,AL West,1600000,28
Reed Johnson,Atlanta Braves,Outfielder,Georgia,NL East,1600000,35
Greg Dobbs,Miami Marlins,Utility,Florida,NL East,1600000,33
Juan Pierre,Miami Marlins,Left fielder,Florida,NL East,1600000,34
Burke Badenhop,Milwaukee Brewers,Bullpen,Wisconsin,NL Central,1550000,29
Jose Molina,Tampa Bay Rays,Catcher,Florida,AL East,1500000,37
Dustin McGowan,Toronto Blue Jays,Starting pitcher,Toronto,AL East,1500000,30
Oliver Perez,Seattle Mariners,Bullpen,Washington,AL West,1500000,30
Kelly Shoppach,Seattle Mariners,Catcher,Washington,AL West,1500000,32
Jason Frasor,Texas Rangers,Bullpen,Texas,AL West,1500000,35
Randy Choate,St. Louis Cardinals,Bullpen,Missouri,NL Central,1500000,36
Gerald Laird,Atlanta Braves,Catcher,Georgia,NL East,1500000,32
Jeff Mathis,Miami Marlins,Catcher,Florida,NL East,1500000,29
Jeff Francis,Colorado Rockies,Starting pitcher,Colorado,NL West,1500000,31
Nick Punto,Los Angeles Dodgers,Utility,California,NL West,1500000,34
Skip Schumaker,Los Angeles Dodgers,Utility,California,NL West,1500000,32
Andres Torres,San Francisco Giants,Outfielder,California,NL West,1500000,34
John McDonald,Pittsburgh Pirates,Infielder,Pennsylvania,NL Central,1500000,38
Brennan Boesch,New York Yankees,Outfielder,New York,AL East,1500000,27
Franklin Morales,Boston Red Sox,Bullpen,Massachusetts,AL East,1487500,26
Andrew Miller,Boston Red Sox,Bullpen,Massachusetts,AL East,1475000,27
Mitchell Boggs,St. Louis Cardinals,Bullpen,Missouri,NL Central,1475000,28
Alex Gonzalez,Milwaukee Brewers,Shortstop,Wisconsin,NL Central,1450000,35
Ronald Belisario,Los Angeles Dodgers,Bullpen,California,NL West,1450000,29
Antonio Bastardo,Philadelphia Phillies,Bullpen,Pennsylvania,NL East,1400000,26
David Hernandez,Arizona Diamondbacks,Bullpen,Arizona,NL West,1375000,27
Jonathan Sanchez,Pittsburgh Pirates,Starting pitcher,Pennsylvania,NL Central,1375000,30
Chris Resop,Oakland Athletics,Bullpen,California,AL West,1350000,29
Shawn Camp,Chicago Cubs,Bullpen,Illinois,NL Central,1350000,36
Lance Nix,Philadelphia Phillies,Outfielder,Pennsylvania,NL East,1350000,31
Eric Hinske,Arizona Diamondbacks,Outfielder,Arizona,NL West,1350000,34
Joe Thatcher,San Diego Padres,Bullpen,California,NL West,1350000,30
Gregor Blanco,San Francisco Giants,Left fielder,California,NL West,1350000,28
Chris Heisey,Cincinnati Reds,Outfielder,Ohio,NL Central,1325000,27
Brian Duensing,Minnesota Twins,Bullpen,Minnesota,AL Central,1300000,29
Mark Kotsay,San Diego Padres,Utility,California,NL West,1300000,36
Aaron Crow,Kansas City Royals,Bullpen,Missouri,AL Central,1280000,25
Tony Sipp,Arizona Diamondbacks,Bullpen,Arizona,NL West,1275000,29
Everth Cabrera,San Diego Padres,Second baseman,California,NL West,1275000,25
Kyle Farnsworth,Tampa Bay Rays,Bullpen,Florida,AL East,1250000,36
Josh Thole,Toronto Blue Jays,Catcher,Toronto,AL East,1250000,25
Brandon Inge,Pittsburgh Pirates,Third baseman,Pennsylvania,NL Central,1250000,35
Roger Bernadina,Washington Nationals,Outfielder,"Washington, D.C.",NL East,1212500,28
Jose Arredondo,Cincinnati Reds,Bullpen,Ohio,NL Central,1200000,28
Kevin Jepsen,Los Angeles Angels,Bullpen,California,AL West,1181250,27
Cory Luebke,San Diego Padres,Starting pitcher,California,NL West,1125000,27
Yonder Alonso,San Diego Padres,First baseman,California,NL West,1120000,25
Matt Moore,Tampa Bay Rays,Starting pitcher,Florida,AL East,1100000,23
Daric Barton,Oakland Athletics,First baseman,California,AL West,1100000,26
Jerry Blevins,Oakland Athletics,Bullpen,California,AL West,1100000,28
Mark Rzepczynski,St. Louis Cardinals,Bullpen,Missouri,NL Central,1100000,26
Miguel Tejada,Kansas City Royals,Infielder,Missouri,AL Central,1100000,38
James Russell,Chicago Cubs,Bullpen,Illinois,NL Central,1075000,26
Chris Getz,Kansas City Royals,Second baseman,Missouri,AL Central,1050000,28
Kameron Loe,Seattle Mariners,Bullpen,Washington,AL West,1050000,31
Wesley Wright,Houston Astros,Bullpen,Texas,AL West,1025000,27
Lou Marson,Cleveland Indians,Catcher,Ohio,AL Central,1000000,26
George Kottaras,Kansas City Royals,Catcher,Missouri,AL Central,1000000,29
Salvador Perez,Kansas City Royals,Catcher,Missouri,AL Central,1000000,22
Luis Ayala,Baltimore Orioles,Bullpen,Maryland,AL East,1000000,34
Nolan Reimold,Baltimore Orioles,Outfielder,Maryland,AL East,1000000,28
Sean Rodriguez,Tampa Bay Rays,Utility,Florida,AL East,1000000,27
Jason Bay,Seattle Mariners,Left fielder,Washington,AL West,1000000,33
Jorge Soler,Chicago Cubs,Outfielder,Illinois,NL Central,1000000,20
Jack Hannahan,Cincinnati Reds,Third baseman,Ohio,NL Central,1000000,32
Manny Parra,Cincinnati Reds,Bullpen,Ohio,NL Central,1000000,29
Francisco Liriano,Pittsburgh Pirates,Starting pitcher,Pennsylvania,NL Central,1000000,28
Jon Rauch,Miami Marlins,Bullpen,Florida,NL East,1000000,33
Chad Tracy,Washington Nationals,Utility,"Washington, D.C.",NL East,1000000,32
Rich Hill,Cleveland Indians,Bullpen,Ohio,AL Central,1000000,33
Yasmani Grandal,San Diego Padres,Catcher,California,NL West,990000,24
Pat Neshek,Oakland Athletics,Bullpen,California,AL West,975000,31
Ryan Webb,Miami Marlins,Bullpen,Florida,NL East,975000,26
Logan Ondrusek,Cincinnati Reds,Bullpen,Ohio,NL Central,950000,27
Shawn Kelley,New York Yankees,Bullpen,New York,AL East,935000,28
Luis Valbuena,Chicago Cubs,Utility,Illinois,NL Central,930000,26
John Baker,San Diego Padres,Catcher,California,NL West,930000,31
Joaquin Arias,San Francisco Giants,Utility,California,NL West,925000,27
Jose Tabata,Pittsburgh Pirates,Outfielder,Pennsylvania,NL Central,916667,23
Madison Bumgarner,San Francisco Giants,Starting pitcher,California,NL West,916667,22
Jayson Nix,New York Yankees,Utility,New York,AL East,900000,29
Jonathan Herrera,Colorado Rockies,Utility,Colorado,NL West,900000,27
Yuniesky Betancourt,Milwaukee Brewers,Infielder,Wisconsin,NL Central,900000,31
Alfredo Simon,Cincinnati Reds,Bullpen,Ohio,NL Central,890000,31
Brayan Pena,Detroit Tigers,Catcher,Michigan,AL Central,875000,30
Craig Stammen,Washington Nationals,Bullpen,"Washington, D.C.",NL East,875000,28
Chris Sale,Chicago White Sox,Starting pitcher,Illinois,AL Central,850000,23
Phil Coke,Detroit Tigers,Bullpen,Michigan,AL Central,850000,29
Jonathan Lucroy,Milwaukee Brewers,Catcher,Wisconsin,NL Central,850000,26
Chad Durbin,Philadelphia Phillies,Bullpen,Pennsylvania,NL East,850000,34
Kevin Frandsen,Philadelphia Phillies,Utility,Pennsylvania,NL East,850000,30
Chris Narveson,Milwaukee Brewers,Starting pitcher,Wisconsin,NL Central,840000,30
Troy Patton,Baltimore Orioles,Bullpen,Maryland,AL East,815000,26
Junichi Tazawa,Boston Red Sox,Bullpen,Massachusetts,AL East,815000,26
Wil Nieves,Arizona Diamondbacks,Catcher,Arizona,NL West,800000,34
Miguel Olivo,Miami Marlins,Catcher,Florida,NL East,800000,34
Carlos Santana,Cleveland Indians,Catcher,Ohio,AL Central,750000,26
Juan Gutierrez,Kansas City Royals,Bullpen,Missouri,AL Central,750000,24
Henry Blanco,Toronto Blue Jays,Catcher,Toronto,AL East,750000,40
Mark DeRosa,Toronto Blue Jays,Utility,Toronto,AL East,750000,37
Brandon Lyon,New York Mets,Bullpen,New York,NL East,750000,32
Delmon Young,Philadelphia Phillies,Right fielder,Pennsylvania,NL East,750000,26
Jason Giambi,Cleveland Indians,Designated hitter,Ohio,AL Central,750000,42
Chad Gaudin,San Francisco Giants,Bullpen,California,NL West,750000,30
Cristhian Martinez,Atlanta Braves,Bullpen,Georgia,NL East,749750,30
Sam Fuld,Tampa Bay Rays,Outfielder,Florida,AL East,725000,30
Paul Janish,Atlanta Braves,Shortstop,Georgia,NL East,725000,29
Ronny Cedeno,Houston Astros,Infielder,Texas,AL West,718000,30
Dewayne Wise,Chicago White Sox,Outfielder,Illinois,AL Central,700000,34
Drew Butera,Minnesota Twins,Catcher,Minnesota,AL Central,700000,28
Adam Rosales,Oakland Athletics,Utility,California,AL West,700000,29
Josh Kinney,Seattle Mariners,Bullpen,Washington,AL West,700000,33
Pedro Alvarez,Pittsburgh Pirates,Third baseman,Pennsylvania,NL Central,700000,25
Scott Atchison,New York Mets,Bullpen,New York,NL East,700000,36
Zach Duke,Washington Nationals,Bullpen,"Washington, D.C.",NL East,700000,29
Tim Wood,Minnesota Twins,Bullpen,Minnesota,AL Central,675000,30
Craig Kimbrel,Atlanta Braves,Closer,Georgia,NL East,655000,24
Taylor Teagarden,Baltimore Orioles,Catcher,Maryland,AL East,650000,28
Kyle Blanks,San Diego Padres,Outfielder,California,NL West,605000,25
Brett Hayes,Kansas City Royals,Catcher,Missouri,AL Central,600000,25
Ivan Nova,New York Yankees,Starting pitcher,New York,AL East,575600,25
Darwin Barney,Chicago Cubs,Second baseman,Illinois,NL Central,562000,26
Blake Wood,Cleveland Indians,Bullpen,Ohio,AL Central,560000,27
Freddie Freeman,Atlanta Braves,First baseman,Georgia,NL East,560000,22
Clay Rapada,New York Yankees,Bullpen,New York,AL East,553625,31
Travis Blackley,Oakland Athletics,Starting pitcher,California,AL West,550000,29
Greg Burke,New York Mets,Bullpen,New York,NL East,550000,30
Ramiro Pena,Atlanta Braves,Infielder,Georgia,NL East,550000,23
Jordan Walden,Atlanta Braves,Bullpen,Georgia,NL East,541500,24
David Aardsma,New York Yankees,Bullpen,New York,AL East,540000,30
Mark Trumbo,Los Angeles Angels,Designated hitter,California,AL West,540000,26
Greg Holland,Kansas City Royals,Bullpen,Missouri,AL Central,539500,26
Giancarlo Stanton,Miami Marlins,Right fielder,Florida,NL East,537000,22
Tim Collins,Kansas City Royals,Bullpen,Missouri,AL Central,534500,22
Eduardo Nunez,New York Yankees,Utility,New York,AL East,533300,25
Luis Mendoza,Kansas City Royals,Bullpen,Missouri,AL Central,532000,28
Brandon Belt,San Francisco Giants,First baseman,California,NL West,531500,24
Scott Diamond,Minnesota Twins,Starting pitcher,Minnesota,AL Central,530000,25
Ernesto Frieri,Los Angeles Angels,Bullpen,California,AL West,530000,26
Brandon Crawford,San Francisco Giants,Shortstop,California,NL West,530000,25
Michael Pineda,New York Yankees,Starting pitcher,New York,AL East,528475,24
Eric Hosmer,Kansas City Royals,First baseman,Missouri,AL Central,528250,22
Travis Wood,Chicago Cubs,Bullpen,Illinois,NL Central,527500,25
Todd Frazier,Cincinnati Reds,Third baseman,Ohio,NL Central,527500,26
Dillon Gee,New York Mets,Starting pitcher,New York,NL East,527375,26
Michael Brantley,Cleveland Indians,Left fielder,Ohio,AL Central,526900,25
Danny Espinosa,Washington Nationals,Second baseman,"Washington, D.C.",NL East,526250,25
Vance Worley,Minnesota Twins,Starting pitcher,Minnesota,AL Central,525000,24
Mike Moustakas,Kansas City Royals,Third baseman,Missouri,AL Central,524500,23
Jon Jay,St. Louis Cardinals,Center fielder,Missouri,NL Central,524000,27
Mark Melancon,Pittsburgh Pirates,Bullpen,Pennsylvania,NL Central,521000,27
Elliot Johnson,Kansas City Royals,Infielder,Missouri,AL Central,520500,29
Addison Reed,Chicago White Sox,Closer,Illinois,AL Central,520000,23
Trevor Plouffe,Minnesota Twins,Third baseman,Minnesota,AL Central,520000,26
Lucas Duda,New York Mets,Left fielder,New York,NL East,519240,26
Felix Doubront,Boston Red Sox,Starting pitcher,Massachusetts,AL East,518500,24
Daniel Hudson,Arizona Diamondbacks,Starting pitcher,Arizona,NL West,518500,25
John Mayberry Jr.,Philadelphia Phillies,Left fielder,Pennsylvania,NL East,517000,28
Jake Arrieta,Baltimore Orioles,Starting pitcher,Maryland,AL East,516500,26
Francisco Cervelli,New York Yankees,Catcher,New York,AL East,515350,26
Chris Stewart,New York Yankees,Catcher,New York,AL East,515100,30
Ben Revere,Philadelphia Phillies,Center fielder,Pennsylvania,NL East,515000,24
Ruben Tejada,New York Mets,Shortstop,New York,NL East,514701,22
Justin Smoak,Seattle Mariners,First baseman,Washington,AL West,514000,25
Lance Lynn,St. Louis Cardinals,Starting pitcher,Missouri,NL Central,513000,25
Michael Saunders,Seattle Mariners,Right fielder,Washington,AL West,512600,25
Peter Bourjos,Los Angeles Angels,Center fielder,California,AL West,512500,25
Jordan Schafer,Atlanta Braves,Outfielder,Georgia,NL East,512500,26
David Phelps,New York Yankees,Bullpen,New York,AL East,512425,25
Fernando Salas,St. Louis Cardinals,Bullpen,Missouri,NL Central,512000,27
Kenley Jansen,Los Angeles Dodgers,Bullpen,California,NL West,512000,24
Daniel Descalso,St. Louis Cardinals,Second baseman,Missouri,NL Central,511000,25
Kyle Seager,Seattle Mariners,Utility,Washington,AL West,510400,24
Cody Eppley,New York Yankees,Bullpen,New York,AL East,510350,26
Tyler Flowers,Chicago White Sox,Catcher,Illinois,AL Central,510000,26
Brett Cecil,Toronto Blue Jays,Bullpen,Toronto,AL East,510000,25
Mike Trout,Los Angeles Angels,Left fielder,California,AL West,510000,20
Josh Reddick,Oakland Athletics,Right fielder,California,AL West,510000,25
Sam LeCure,Cincinnati Reds,Bullpen,Ohio,NL Central,510000,28
Brandon Beachy,Atlanta Braves,Starting pitcher,Georgia,NL East,510000,25
Michael Bowden,Chicago Cubs,Bullpen,Illinois,NL Central,509500,25
Jason Kipnis,Cleveland Indians,Second baseman,Ohio,AL Central,509400,25
Tom Wilhelmsen,Seattle Mariners,Closer,Washington,AL West,509100,28
Esmil Rogers,Toronto Blue Jays,Bullpen,Toronto,AL East,509000,26
Chris Tillman,Baltimore Orioles,Starting pitcher,Maryland,AL East,508500,24
Mike Carp,Boston Red Sox,Outfielder,Massachusetts,AL East,508500,26
Kelvin Herrera,Kansas City Royals,Bullpen,Missouri,AL Central,508175,22
Henderson Alvarez,Miami Marlins,Starting pitcher,Florida,NL East,507900,22
Eric Stults,San Diego Padres,Starting pitcher,California,NL West,507600,33
Nate Jones,Chicago White Sox,Bullpen,Illinois,AL Central,507500,26
Blake Beavan,Seattle Mariners,Starting pitcher,Washington,AL West,506700,23
Jake McGee,Tampa Bay Rays,Bullpen,Florida,AL East,506200,25
Jarrod Dyson,Kansas City Royals,Center fielder,Missouri,AL Central,506000,27
Alexi Ogando,Texas Rangers,Starting pitcher,Texas,AL West,506000,28
Jose Altuve,Houston Astros,Second baseman,Texas,AL West,505700,22
J.P. Arencibia,Toronto Blue Jays,Catcher,Toronto,AL East,505600,26
Tony Watson,Pittsburgh Pirates,Bullpen,Pennsylvania,NL Central,505500,27
Matt Reynolds,Arizona Diamondbacks,Bullpen,Arizona,NL West,505500,27
Daniel Nava,Boston Red Sox,Outfielder,Massachusetts,AL East,505500,30
Casper Wells,Seattle Mariners,Outfielder,Washington,AL West,505400,27
Danny Duffy,Kansas City Royals,Starting pitcher,Missouri,AL Central,505125,24
Angel Sanchez,Chicago White Sox,Shortstop,Illinois,AL Central,505000,29
Hector Santiago,Chicago White Sox,Bullpen,Illinois,AL Central,505000,24
Andy Dirks,Detroit Tigers,Left fielder,Michigan,AL Central,505000,26
Josh Roenicke,Minnesota Twins,Bullpen,Minnesota,AL Central,505000,29
Ryan Cook,Oakland Athletics,Bullpen,California,AL West,505000,25
Travis Snider,Pittsburgh Pirates,Right fielder,Pennsylvania,NL Central,505000,24
Michael McKenry,Pittsburgh Pirates,Catcher,Pennsylvania,NL Central,505000,27
Mike Minor,Atlanta Braves,Starting pitcher,Georgia,NL East,505000,24
Steve Cishek,Miami Marlins,Closer,Florida,NL East,505000,26
Scott Elbert,Los Angeles Dodgers,Bullpen,California,NL West,505000,26
Raul Valdes,Philadelphia Phillies,Bullpen,Pennsylvania,NL East,505000,35
Xavier Paul,Cincinnati Reds,Outfielder,Ohio,NL Central,505000,28
Luis Cruz,Los Angeles Dodgers,Third baseman,California,NL West,505000,29
Justin Turner,New York Mets,Utility,New York,NL East,504547,27
Jared Hughes,Pittsburgh Pirates,Bullpen,Pennsylvania,NL Central,504500,26
Ryan Mattheus,Washington Nationals,Bullpen,"Washington, D.C.",NL East,504500,28
Clayton Mortensen,Boston Red Sox,Bullpen,Massachusetts,AL East,504500,27
Charlie Furbush,Seattle Mariners,Bullpen,Washington,AL West,504500,26
Guillermo Moscoso,Chicago Cubs,Starting pitcher,Illinois,NL Central,504250,29
Matt Carpenter,St. Louis Cardinals,Third baseman,Missouri,NL Central,504000,26
Josh Collmenter,Arizona Diamondbacks,Bullpen,Arizona,NL West,504000,26
Anthony Bass,San Diego Padres,Bullpen,California,NL West,503600,24
Chris Coghlan,Miami Marlins,Outfielder,Florida,NL East,503500,27
Jesus Montero,Seattle Mariners,Catcher,Washington,AL West,503300,22
Jesus Guzman,San Diego Padres,Utility,California,NL West,503200,28
Lorenzo Cain,Kansas City Royals,Center fielder,Missouri,AL Central,503175,26
Jeremy Hellickson,Tampa Bay Rays,Starting pitcher,Florida,AL East,503000,25
Welington Castillo,Chicago Cubs,Catcher,Illinois,NL Central,503000,25
Josh Harrison,Pittsburgh Pirates,Third baseman,Pennsylvania,NL Central,503000,24
Tony Cruz,St. Louis Cardinals,Catcher,Missouri,NL Central,503000,25
Mitch Moreland,Texas Rangers,First baseman,Texas,AL West,502700,26
Brayan Villarreal,Detroit Tigers,Bullpen,Michigan,AL Central,502500,25
Anthony Swarzak,Minnesota Twins,Bullpen,Minnesota,AL Central,502500,26
Pedro Strop,Baltimore Orioles,Bullpen,Maryland,AL East,502500,27
Pedro Ciriaco,Boston Red Sox,Utility,Massachusetts,AL East,502500,26
Jason Donald,Cincinnati Reds,Utility,Ohio,NL Central,502500,28
Hector Sanchez,San Francisco Giants,Catcher,California,NL West,502500,22
Alex Cobb,Tampa Bay Rays,Starting pitcher,Florida,AL East,502200,24
Miguel Gonzalez,Baltimore Orioles,Starting pitcher,Maryland,AL East,502000,28
Chris Leroux,Pittsburgh Pirates,Bullpen,Pennsylvania,NL Central,502000,28
Nathan Eovaldi,Miami Marlins,Starting pitcher,Florida,NL East,502000,22
Vinnie Pestano,Cleveland Indians,Bullpen,Ohio,AL Central,501900,27
Josh Tomlin,Cleveland Indians,Starting pitcher,Ohio,AL Central,501800,27
Desmond Jennings,Tampa Bay Rays,Left fielder,Florida,AL East,501800,25
Bryan Shaw,Cleveland Indians,Bullpen,Ohio,AL Central,501700,25
Cesar Ramos,Tampa Bay Rays,Bullpen,Florida,AL East,501300,28
Wilson Ramos,Washington Nationals,Catcher,"Washington, D.C.",NL East,501250,24
Steve Lombardozzi,Washington Nationals,Utility,"Washington, D.C.",NL East,501250,23
Craig Gentry,Texas Rangers,Outfielder,Texas,AL West,501000,28
Henry Rodriguez,Washington Nationals,Bullpen,"Washington, D.C.",NL East,501000,25
Andrew Cashner,San Diego Padres,Bullpen,California,NL West,500800,25
Lucas Harrell,Houston Astros,Starting pitcher,Texas,AL West,500700,27
Jeremy Hefner,New York Mets,Starting pitcher,New York,NL East,500625,27
Wade Miley,Arizona Diamondbacks,Starting pitcher,Arizona,NL West,500500,25
Tyson Ross,San Diego Padres,Starting pitcher,California,NL West,500500,25
Mike Baxter,New York Mets,Right fielder,New York,NL East,500318,27
Josh Lindblom,Texas Rangers,Bullpen,Texas,AL West,500100,25
Jose Quintana,Chicago White Sox,Starting pitcher,Illinois,AL Central,500000,23
Al Alburqueque,Detroit Tigers,Bullpen,Michigan,AL Central,500000,26
Darin Mastroianni,Minnesota Twins,Center fielder,Minnesota,AL Central,500000,26
Casey Fien,Minnesota Twins,Bullpen,Minnesota,AL Central,500000,28
Luis Perez,Toronto Blue Jays,Bullpen,Toronto,AL East,500000,27
Brett Lawrie,Toronto Blue Jays,Third baseman,Toronto,AL East,500000,22
Scott Sizemore,Oakland Athletics,Third baseman,California,AL West,500000,28
Jeanmar Gomez,Pittsburgh Pirates,Bullpen,Pennsylvania,NL Central,500000,25
Starling Marte,Pittsburgh Pirates,Left fielder,Pennsylvania,NL Central,500000,23
Domonic Brown,Philadelphia Phillies,Left fielder,Pennsylvania,NL East,500000,24
Paul Goldschmidt,Arizona Diamondbacks,First baseman,Arizona,NL West,500000,24
Cole DeVries,Minnesota Twins,Starting pitcher,Minnesota,AL Central,500000,28
Jon Garland,Colorado Rockies,Starting pitcher,Colorado,NL West,500000,33
Kyle Drabek,Toronto Blue Jays,Starting pitcher,Toronto,AL East,499500,24
Logan Forsythe,San Diego Padres,Third baseman,California,NL West,499000,25
Reid Brignac,Colorado Rockies,Infielder,Colorado,NL West,499000,27
Steve Delabar,Toronto Blue Jays,Bullpen,Toronto,AL East,498900,28
Dale Thayer,San Diego Padres,Bullpen,California,NL West,498900,32
Matt Harvey,New York Mets,Starting pitcher,New York,NL East,498750,23
Brad Brach,San Diego Padres,Bullpen,California,NL West,498200,26
Kirk Nieuwenhuis,New York Mets,Center fielder,New York,NL East,498124,24
Drew Smyly,Detroit Tigers,Bullpen,Michigan,AL Central,498000,23
Ryan Kalish,Boston Red Sox,Outfielder,Massachusetts,AL East,498000,24
Will Middlebrooks,Boston Red Sox,Third baseman,Massachusetts,AL East,498000,23
Rhiner Cruz,Houston Astros,Bullpen,Texas,AL West,498000,25
Anthony Rizzo,Chicago Cubs,First baseman,Illinois,NL Central,498000,22
Mike Fiers,Milwaukee Brewers,Starting pitcher,Wisconsin,NL Central,498000,27
Shane Robinson,St. Louis Cardinals,Outfielder,Missouri,NL Central,498000,28
Tony Abreu,San Francisco Giants,Infielder,California,NL West,498000,28
Donald Veal,Chicago White Sox,Bullpen,Illinois,AL Central,497500,28
Chris Parmelee,Minnesota Twins,Right fielder,Minnesota,AL Central,497500,25
Brian Dozier,Minnesota Twins,Utility,Minnesota,AL Central,497500,25
Zack Cozart,Cincinnati Reds,Shortstop,Ohio,NL Central,497500,26
Jeff Locke,Pittsburgh Pirates,Bullpen,Pennsylvania,NL Central,497500,24
Joe Paterson,Arizona Diamondbacks,Bullpen,Arizona,NL West,497500,26
Tony Campana,Arizona Diamondbacks,Outfielder,Arizona,NL West,497500,26
Robbie Ross,Texas Rangers,Bullpen,Texas,AL West,497400,23
Alexi Amarista,San Diego Padres,Utility,California,NL West,497400,23
Alex White,Houston Astros,Starting pitcher,Texas,AL West,497100,23
Jeremy Horst,Philadelphia Phillies,Bullpen,Pennsylvania,NL East,497000,27
Jordany Valdespin,New York Mets,Utility,New York,NL East,496645,24
Jason Castro,Houston Astros,Catcher,Texas,AL West,496600,25
Alex Torres,Tampa Bay Rays,Bullpen,Florida,AL East,496500,25
Michael Schwimer,Toronto Blue Jays,Bullpen,Toronto,AL East,496500,27
Zach McAllister,Cleveland Indians,Starting pitcher,Ohio,AL Central,496400,24
Juan Francisco,Atlanta Braves,Third baseman,Georgia,NL East,496250,25
Julio Borbon,Texas Rangers,Outfielder,Texas,AL West,496000,26
Erik Kratz,Philadelphia Phillies,Catcher,Pennsylvania,NL East,496000,32
Steve Clevenger,Chicago Cubs,Catcher,Illinois,NL Central,496000,26
Xavier Cedeno,Houston Astros,Bullpen,Texas,AL West,495900,25
Jeremy Jeffress,Toronto Blue Jays,Bullpen,Toronto,AL East,495900,25
Michael Kirkman,Texas Rangers,Bullpen,Texas,AL West,495800,25
Lucas Luetge,Seattle Mariners,Bullpen,Washington,AL West,495500,25
Frank Herrmann,Cleveland Indians,Bullpen,Ohio,AL Central,495500,28
Liam Hendriks,Minnesota Twins,Starting pitcher,Minnesota,AL Central,495000,23
Pedro Floriman Jr.,Minnesota Twins,Utility,Minnesota,AL Central,495000,25
Tyler Robertson,Minnesota Twins,Bullpen,Minnesota,AL Central,495000,24
Manny Machado,Baltimore Orioles,Third baseman,Maryland,AL East,495000,19
Carlos Corporan,Houston Astros,Catcher,Texas,AL West,495000,28
Brett Wallace,Houston Astros,First baseman,Texas,AL West,495000,25
Hank Conger,Los Angeles Angels,Catcher,California,AL West,495000,24
Tom Milone,Oakland Athletics,Starting pitcher,California,AL West,495000,25
Jarrod Parker,Oakland Athletics,Starting pitcher,California,AL West,495000,23
Randall Delgado,Arizona Diamondbacks,Starting pitcher,Arizona,NL West,495000,22
